Sample,Vito,Lily,Urza,Heidi,Fritzy,ThorA,Cami
sample_1,0.0025582457743261763,0.1750390015600624,8.32570144034635e-05,0.9925843234191851,0.0026803902648225584,8.390493570784301e-05,0.00032198989756696385
sample_2,0.5114206128133705,0.2074235807860262,0.016338028169014085,0.4013761467889908,0.010375099760574621,0.007497044733403845,0.0028336443430783055
sample_3,0.5647321428571429,0.2524271844660194,0.10972568578553615,0.21923937360178972,0.07167235494880546,0.012980992118683357,0.005815644082582146
sample_4,0.34065934065934067,0.21153846153846154,0.09693877551020408,0.39705882352941174,0.1282051282051282,0.0041863851474335636,0.003663003663003663
sample_5,0.36971046770601335,0.15447154471544716,0.025974025974025976,0.523696682464455,0.06962025316455696,0.010814249363867684,0.002136181575433912
sample_6,0.12323943661971831,0.25,0.0032679738562091504,0.40189873417721517,0.38565022421524664,0.00292146416910122,0.005428460643660334
sample_7,0.16666666666666666,,,0.625,0.14285714285714285,0.0,0.0
sample_8,0.3519736842105263,0.16666666666666666,0.3269513991163476,0.28500823723228996,0.02968036529680365,0.009434834890389418,0.004860976083997667
sample_9,0.22429906542056074,0.13043478260869565,0.07668711656441718,0.4585987261146497,0.12149532710280374,0.006287726358148894,0.004634994206257242
sample_10,0.2827102803738318,0.1794871794871795,0.02810304449648712,0.6571428571428571,0.020833333333333332,0.0076576576576576575,0.003036996134732192
sample_11,0.3825503355704698,0.2,0.0661764705882353,0.460431654676259,0.14563106796116504,0.007827788649706457,0.0007861635220125787
sample_12,0.1488673139158576,0.23255813953488372,0.01892744479495268,0.6210191082802548,0.21621621621621623,0.0004985044865403788,0.004307250538406317
sample_13,0.1774193548387097,0.125,0.08571428571428572,0.20967741935483872,0.5833333333333334,0.006284367635506678,0.007532956685499058
sample_14,0.10367892976588629,0.32432432432432434,0.015060240963855422,0.38162544169611307,0.3783783783783784,0.001688969728465636,0.0030360531309297912
sample_15,0.16688741721854305,0.25925925925925924,0.017366136034732273,0.21712538226299694,0.6119096509240246,0.002695002695002695,0.0057000356252226575
sample_16,0.16279069767441862,0.125,0.045454545454545456,0.18181818181818182,0.35,0.0051813471502590676,0.0
sample_17,0.1590909090909091,0.168141592920354,0.008908685968819599,0.2116279069767442,0.6666666666666666,0.003641660597232338,0.0026553372278279343
sample_18,0.0,,0.0,0.2727272727272727,0.5,0.0,0.0
sample_19,0.1509433962264151,0.23076923076923078,0.11538461538461539,0.21348314606741572,0.546875,0.004429678848283499,0.0034762456546929316
sample_21,0.2,0.3333333333333333,0.0,0.11764705882352941,0.4,0.026845637583892617,0.0
sample_22,0.06638418079096045,0.2727272727272727,0.006069802731411229,0.136431784107946,0.7987152034261242,0.0010501260151218146,0.00253210345451257
sample_23,0.09259259259259259,0.28,0.006263048016701462,0.09970384995064166,0.7760989010989011,0.0018466804792361049,0.0022376926902038788
sample_24,0.08166969147005444,0.1810344827586207,0.011406844106463879,0.03682170542635659,0.8923076923076924,0.0011830819284235432,0.00022639800769753225
sample_25,0.0,,0.2,0.08333333333333333,0.8571428571428571,0.0,0.0
sample_26,0.13829787234042554,0.14285714285714285,0.012048192771084338,0.5,0.38,0.0005285412262156448,0.006230529595015576
sample_27,0.2236842105263158,0.16666666666666666,0.011560693641618497,0.30405405405405406,0.4946236559139785,0.0070028011204481795,0.005063291139240506
sample_28,0.10695187165775401,0.29411764705882354,0.006993006993006993,0.1400560224089636,0.7574671445639187,0.0020063534525998996,0.002414951700965981
sample_29,0.11764705882352941,,0.0,0.8333333333333334,0.0,0.0,0.031055900621118012
sample_31,,,,,,,0.0
sample_33,,,,,,,0.17647058823529413
sample_36,0.001288659793814433,0.6185567010309279,0.0,0.0,0.0,0.011088596194979174,0.019150467962562995
sample_37,0.0006184291898577613,0.27979274611398963,0.0,0.0,0.0008291873963515755,0.019386005921770297,0.01797374148704627
sample_38,0.0,0.45454545454545453,0.0,0.0,0.0,0.04819277108433735,0.016736401673640166
sample_40,0.0006006006006006006,0.41959798994974873,0.0005980861244019139,0.0,0.0026362038664323375,0.012155870129058466,0.018716772267132767
sample_41,0.0011273957158962795,0.919047619047619,0.0,0.0012121212121212121,0.0,0.0037873840929868096,0.019043917605907502
sample_42,0.0014705882352941176,0.44755244755244755,0.0,0.0,0.002652519893899204,0.01666203832268814,0.01881303335919317
sample_44,0.004032258064516129,0.27586206896551724,0.0,0.0,0.0,0.022595078299776285,0.02297165200391007
sample_46,,,,,,,0.0
sample_47,0.0,0.6666666666666666,0.0,0.0,0.0,0.015549597855227882,0.025219298245614034
sample_48,,,,,,,0.0
sample_49,0.0,0.5,0.0,0.0,0.0,0.011574074074074073,0.02926829268292683
sample_50,,,,,,,0.0
sample_52,,,,0.0,,,0.043478260869565216
sample_53,,,,,,0.0,0.0
sample_54,,,0.0,,0.0,,0.2857142857142857
sample_55,,,,,,,0.0
sample_56,0.0,,,,,0.0,0.4166666666666667
sample_57,0.0,,0.0,0.0,0.0,0.052980132450331126,0.01948051948051948
sample_59,0.0,0.14285714285714285,0.0,0.0,0.07142857142857142,0.01366742596810934,0.09644670050761421
sample_60,,,,,,0.0,0.03571428571428571
sample_61,,,0.0,,,0.043859649122807015,0.05
sample_62,,,,,,0.0,
sample_63,,,,,,,0.0
sample_64,,,,,,,0.08333333333333333
sample_65,,,,,,0.02631578947368421,0.0
sample_66,,,,,,0.0,0.2222222222222222
sample_67,0.0,,0.0,0.0,0.2,0.024242424242424242,0.09401709401709402
sample_68,,,,,0.0,0.010471204188481676,0.09090909090909091
sample_69,0.02702702702702703,0.4666666666666667,0.025,0.023255813953488372,0.038461538461538464,0.010587102983638113,0.04560260586319218
sample_70,,,0.0,,0.6,0.07407407407407407,0.26666666666666666
sample_71,,,,,,0.0,0.13333333333333333
sample_72,0.0,0.375,0.0,0.0,0.1111111111111111,0.0030303030303030303,0.13333333333333333
sample_73,0.1875,0.16666666666666666,0.0,0.0,0.0,0.0029717682020802376,0.24293785310734464
sample_74,0.0,,,,,0.0,0.6470588235294118
sample_75,0.0,0.0,0.0,0.0,0.0,0.0,0.9593908629441624
sample_76,,,,,,0.0,0.13636363636363635
sample_77,0.0,0.0,0.0,0.0,0.017543859649122806,0.0004723665564478035,0.9101694915254237
sample_78,,,,,,0.018867924528301886,0.4583333333333333
sample_79,0.0,,0.07142857142857142,0.0,0.3333333333333333,0.0,0.17272727272727273
sample_81,0.0,,0.0,0.0,0.6666666666666666,0.0,0.2289156626506024
sample_82,,,,,,,0.2
