sample_id,Heidi,Fritzy,ThorA,Cami,Urza,Charlie,Vito,location
sample_1(103504),0.992819126467855,0.00268039026482256,0.000893987931162929,0.000288229164357138,8.33E-05,0.000287699730004869,0.00262245949236677,Dog Office (Container)
sample_10(3682),0.672131147540984,0.0208333333333333,0,0.00110803324099723,0.0281030444964871,0.000606428138265616,0.288095238095238,Dog Office (Container)
sample_11(1333),0.448,0.145631067961165,0,0,0.0661764705882353,0.0018450184501845,0.395833333333333,Dog Office (Container)
sample_12(2925),0.617647058823529,0.216216216216216,0,0.00149700598802395,0.0189274447949527,0,0.15916955017301,Dog Office (Container)
sample_13(538),0.216666666666667,0.583333333333333,0,0.00425531914893617,0.0857142857142857,0.0036231884057971,0.17741935483871,Dog Office (Container)
sample_14(2813),0.394308943089431,0.378378378378378,0.00276243093922652,0.0025,0.0150602409638554,0.000857632933104631,0.103678929765886,Dog Office (Container)
sample_15(6162),0.220665499124343,0.611909650924025,0.0023094688221709,0.0038109756097561,0.0173661360347323,0,0.173314993122421,Dog Office (Container)
sample_16(349),0.170731707317073,0.35,0,0,0.0454545454545455,0,0.179487179487179,Dog Office (Container)
sample_17(4465),0.219211822660099,0.666666666666667,0,0.00220143093010457,0.0089086859688196,0,0.161662817551963,Dog Office (Container)
sample_18(85),0.272727272727273,NA,NA,0,NA,0,NA,Dog Office (Container)
sample_19(1038),0.192771084337349,0.546875,0,0.00490196078431373,0.115384615384615,0,0.168421052631579,Dog Office (Container)
sample_2(14778),0.403134796238244,0.0103750997605746,0.000518134715025907,0.000614911606456572,0.0163380281690141,0.000441371193173459,0.538732394366197,Dog Office (Container)
sample_21(694),0.117647058823529,0.4,0,0,0,0,0.2,Dog Office (Container)
sample_22(5874),0.135506003430532,0.798715203426124,0.00632111251580278,0.000410677618069815,0.00606980273141123,0.000731528895391368,0.0677233429394813,Dog Office (Container)
sample_23(8608),0.101237345331834,0.776098901098901,0.0055452865064695,0.00110619469026549,0.00626304801670146,0.000509683995922528,0.0948660714285714,Dog Office (Container)
sample_24(4878),0.0394736842105263,0.892307692307692,0.00158478605388273,0.000506072874493927,0.0114068441064639,0.000425350914504466,0.0825688073394495,Dog Office (Container)
sample_25(91),0.1,NA,0,0,NA,0.02,NA,Dog Office (Container)
sample_26(762),0.461538461538462,0.38,0.00952380952380952,0.00326797385620915,0.0120481927710843,0.00260416666666667,0.138297872340426,Dog Office (Container)
sample_27(1354),0.328,0.494623655913978,0.00531914893617021,0.00378787878787879,0.0115606936416185,0,0.231292517006803,Dog Office (Container)
sample_28(10137),0.141176470588235,0.757467144563919,0.00143163922691482,0.00140154169586545,0.00699300699300699,0.000219154065307911,0.110091743119266,Dog Office (Container)
sample_29(205),0.818181818181818,0,0,0.0144927536231884,0,0,0.142857142857143,Lab (PCR Lab)
sample_3(3608),0.221951219512195,0.0716723549488055,0.00419287211740042,0.00390117035110533,0.109725685785536,0.000595238095238095,0.593896713615023,Dog Office (Container)
sample_36(7062),0,0,0.967647058823529,0.0006426735218509,0,0.000863309352517986,0.00133511348464619,Dog Office (Lily/ThorA)
sample_37(15552),0,0.000829187396351575,0.987378640776699,0.00154130702836005,0,0.000293513354857646,0.000635727908455181,Dog Office (Lily/ThorA)
sample_38(531),0,0,0.964285714285714,0,0,0,0,Dog Office (Lily/ThorA)
sample_4(1710),0.396739130434783,0.128205128205128,0,0.00137551581843191,0.0969387755102041,0,0.340659340659341,Dog Office (Container)
sample_40(14826),0,0.00263620386643234,0.97327281896117,0.000159744408945687,0.000598086124401914,0.000588754783632617,0.000630517023959647,Dog Office (Lily/ThorA)
sample_41(7882),0.00141442715700141,0,0.95729537366548,0.000553556601162469,0,0.00026281208935611,0.00115340253748558,Dog Office (Lily/ThorA)
sample_42(5432),0,0.0026525198938992,0.986111111111111,0.000420698359276399,0,0.000386548125241593,0.00154083204930663,Dog Office (Lily/ThorA)
sample_44(2175),0,0,0.986607142857143,0.000955109837631328,0,0.00229357798165138,0.00423728813559322,Dog Office (Lily/ThorA)
sample_47(966),0,0,0.965753424657534,0.0153508771929825,0,0,0,Hallway (Lily/ThorA)
sample_49(210),0,0,0.931034482758621,0.0210526315789474,0,0,0,Hallway (Lily/ThorA)
sample_5(3807),0.51980198019802,0.069620253164557,0,0.000563380281690141,0.025974025974026,0,0.381609195402299,Dog Office (Container)
sample_57(199),0,NA,1,0,0,0,0,Dog Office (Anda/Charlie)
sample_59(211),0,0.0714285714285714,0.807692307692308,0.0117647058823529,0,0.0727272727272727,0,Dog Office (Anda/Charlie)
sample_6(2566),0.411971830985915,0.385650224215247,0.0056980056980057,0.00534283170080142,0.00326797385620915,0,0.126353790613718,Dog Office (Container)
sample_61(76),NA,NA,1,0.0333333333333333,NA,0,NA,Hallway (Anda/Charlie)
sample_67(130),NA,0.2,0.625,0.111111111111111,NA,0,0,Elevator
sample_69(326),0.025,0.0384615384615385,0.7,0.0223880597014925,0.025,0,0.027027027027027,Elevator
sample_7(72),NA,NA,NA,0,NA,0,NA,Dog Office (Container)
sample_72(197),0,0.111111111111111,0.666666666666667,0.0731707317073171,0,0.0786516853932584,0,Main Entrance
sample_73(173),0,0,0.576923076923077,0.194805194805195,0,0.038961038961039,0.1875,Main Entrance
sample_75(644),0,0,0.0574712643678161,0.952727272727273,0,0.00344827586206897,0,Non-Dog Office
sample_77(668),0,0.0175438596491228,0.04,0.894339622641509,0,0.0315789473684211,0,Non-Dog Office
sample_79(100),NA,NA,0.285714285714286,0.06,0.0714285714285714,0.222222222222222,0,Non-Dog Office
sample_8(5279),0.286751361161524,0.0296803652968037,0.00140056022408964,0.000848176420695505,0.326951399116348,0.00117554858934169,0.370883882149047,Dog Office (Container)
sample_81(100),0,NA,0.05,0.0540540540540541,0,0.0277777777777778,0,Non-Dog Office
sample_9(2688),0.459731543624161,0.121495327102804,0,0.000827129859387924,0.0766871165644172,0.00328677074774034,0.227848101265823,Dog Office (Container)
